Reference, Value, Footprint, Datasheet, Model, Available at, Power, Voltage
"W1","TEST_1P","Measurement_Points:Measurement_Point_Square-TH_Small",""
"RV1","10K","wshito_FootPrints:G43A","","G43ATB103","http://akizukidenshi.com/catalog/g/gP-10785/","",""
"R1","0.33","Resistors_SMD:R_2512_HandSoldering","","Panasonic ERJ1TRQFR33U (using 1W due to the availability)","http://jp.rs-online.com/web/p/products/7216230/","2W",""
"R2","0.33","Resistors_SMD:R_2512_HandSoldering","","Panasonic ERJ1TRQFR33U (using 1W due to the availability)","http://jp.rs-online.com/web/p/products/7216230/","2W",""
"R4","2.4K","Resistors_SMD:R_0603_HandSoldering","","Panasonic ERJPA3F2401V","http://jp.rs-online.com/web/p/products/8626855/","1/8W",""
"C3","0.1u","Capacitors_SMD:C_0603_HandSoldering","","GRM188F11H104ZA01","http://akizukidenshi.com/catalog/g/gP-04940/","","50V"
"R3","25K","Resistors_SMD:R_0603_HandSoldering","","Panasonic ERJPA3F3002V (30KΩ)","http://jp.rs-online.com/web/p/products/8626896/","1/10W",""
"C7","0.22u","Capacitors_SMD:C_0603_HandSoldering","","GRM188F11H224ZA01","http://akizukidenshi.com/catalog/g/gP-05624/","","10V"
"C6","10u","Capacitors_SMD:C_0603_HandSoldering","","GRM188R61E106MA","http://akizukidenshi.com/catalog/g/gP-07768/","","10V"
"C1","0.1u","Capacitors_SMD:C_0603_HandSoldering","","GRM188F11H104ZA01","http://akizukidenshi.com/catalog/g/gP-04940/","","50V"
"C4","100u","wshito_FootPrints:UCB1H101MNL1GS_HandSoldering","","Nichicon UCB1H101MNL1GS","http://jp.rs-online.com/web/p/products/0269329/","","50V"
"C5","0.22u","Capacitors_SMD:C_0603_HandSoldering","","GRM188F11H224ZA01","http://akizukidenshi.com/catalog/g/gP-05624/","","50V"
"C2","0.22u","Capacitors_SMD:C_0603_HandSoldering","","GRM188F11H224ZA01","http://akizukidenshi.com/catalog/g/gP-05624/","","25V"
"U1","A3982","Housings_SOIC:SOIC-24W_7.5x15.4mm_Pitch1.27mm","","A3982SLBTR-T","http://akizukidenshi.com/catalog/g/gI-06739/","",""
"P2","CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06",""
"P1","CONN_01X07","Pin_Headers:Pin_Header_Straight_1x07",""
